,precision,recall,f1-score,support
0.0,0.5828488372093024,0.708898055391868,0.6397234777984578,1697.0
1.0,0.5820642978003384,0.44415752098127825,0.5038447455144636,1549.0
accuracy,0.5825631546518792,0.5825631546518792,0.5825631546518792,0.5825631546518792
macro avg,0.5824565675048203,0.5765277881865731,0.5717841116564607,3246.0
weighted avg,0.5824744528764357,0.5825631546518792,0.5748817783813577,3246.0
