,precision,recall,f1-score,support
0.0,0.5826466311197286,0.7083087802003536,0.6393617021276596,1697.0
1.0,0.5815722738799662,0.44415752098127825,0.5036603221083455,1549.0
accuracy,0.5822550831792976,0.5822550831792976,0.5822550831792976,0.5822550831792976
macro avg,0.5821094524998474,0.5762331505908159,0.5715110121180026,3246.0
weighted avg,0.5821339449323004,0.5822550831792976,0.574604635692072,3246.0
