,precision,recall,f1-score,support
0.0,0.5528074866310161,0.4873305833824396,0.5180081428124022,1697.0
1.0,0.5028571428571429,0.5681084570690769,0.5334949984843892,1549.0
accuracy,0.5258780036968577,0.5258780036968577,0.5258780036968577,0.5258780036968577
macro avg,0.5278323147440795,0.5277195202257583,0.5257515706483957,3246.0
weighted avg,0.5289710471652954,0.5258780036968577,0.5253985123243885,3246.0
